customer_id,gender,age,customer_segment
1,M,56,Premium
2,F,46,Enterprise
3,M,33,Family
4,M,57,Youth
5,M,38,Family
6,F,18,Premium
7,M,23,Premium
8,F,49,Youth
9,M,43,Family
10,F,59,Enterprise
11,M,34,Youth
12,F,30,Family
13,F,41,Enterprise
14,F,60,Enterprise
15,F,22,Family
16,M,47,Enterprise
17,M,54,Premium
18,M,64,Family
19,F,39,Youth
20,M,50,Enterprise
21,F,68,Enterprise
22,M,34,Premium
23,M,66,Family
24,M,34,Enterprise
25,F,65,Youth
26,M,41,Family
27,F,49,Premium
28,F,40,Youth
29,F,33,Youth
30,M,18,Premium
31,F,52,Enterprise
32,F,51,Family
33,F,28,Enterprise
34,M,47,Youth
35,M,47,Enterprise
36,M,53,Premium
37,F,40,Family
38,F,26,Enterprise
39,M,62,Enterprise
40,M,46,Enterprise
41,F,31,Premium
42,M,35,Enterprise
43,M,65,Youth
44,F,32,Premium
45,M,30,Youth
46,M,29,Youth
47,F,68,Youth
48,M,46,Enterprise
49,F,27,Premium
50,F,36,Premium
51,F,39,Youth
52,F,33,Youth
53,M,68,Enterprise
54,M,56,Family
55,F,37,Enterprise
56,F,25,Family
57,M,60,Youth
58,F,23,Youth
59,F,68,Youth
60,M,27,Enterprise
61,F,67,Enterprise
62,F,54,Enterprise
63,F,19,Family
64,M,54,Youth
65,M,29,Family
66,M,37,Youth
67,M,51,Youth
68,F,65,Enterprise
69,M,67,Premium
70,F,67,Premium
71,M,25,Youth
72,F,32,Family
73,M,56,Family
74,M,63,Family
75,M,66,Youth
76,M,32,Premium
77,M,49,Family
78,M,19,Enterprise
79,F,36,Youth
80,F,57,Enterprise
81,F,40,Premium
82,F,67,Family
83,M,30,Youth
84,F,69,Youth
85,M,62,Youth
86,M,54,Youth
87,F,26,Premium
88,F,39,Family
89,F,40,Premium
90,F,33,Youth
91,F,19,Enterprise
92,F,64,Family
93,M,27,Family
94,F,33,Youth
95,F,34,Family
96,F,45,Enterprise
97,M,52,Youth
98,F,40,Youth
99,F,55,Youth
100,F,44,Family
101,M,48,Enterprise
102,M,43,Premium
103,M,59,Premium
104,F,46,Premium
105,M,66,Youth
106,F,67,Family
107,F,54,Youth
108,M,60,Enterprise
109,M,57,Youth
110,F,65,Premium
111,F,70,Premium
112,M,44,Youth
113,F,45,Youth
114,M,51,Premium
115,F,30,Family
116,M,51,Youth
117,F,65,Family
118,M,60,Family
119,F,30,Premium
120,F,29,Premium
121,F,22,Youth
122,M,35,Enterprise
123,F,53,Family
124,F,70,Enterprise
125,M,46,Enterprise
126,M,43,Family
127,M,49,Enterprise
128,F,63,Premium
129,M,37,Family
130,M,29,Enterprise
131,M,55,Family
132,M,35,Enterprise
133,M,21,Enterprise
134,M,58,Youth
135,M,28,Youth
136,F,45,Enterprise
137,F,58,Youth
138,F,31,Premium
139,F,35,Family
140,M,67,Youth
141,F,66,Enterprise
142,M,23,Family
143,M,57,Youth
144,F,45,Enterprise
145,M,54,Premium
146,F,27,Enterprise
147,F,25,Enterprise
148,F,61,Family
149,M,48,Premium
150,F,61,Youth
151,F,26,Youth
152,M,70,Premium
153,F,25,Enterprise
154,F,49,Enterprise
155,M,44,Family
156,M,48,Enterprise
157,F,43,Youth
158,F,42,Premium
159,M,31,Premium
160,M,31,Enterprise
161,F,58,Enterprise
162,M,37,Premium
163,F,43,Youth
164,F,24,Family
165,M,37,Youth
166,F,32,Youth
167,M,38,Youth
168,M,28,Enterprise
169,M,43,Family
170,M,46,Youth
171,M,66,Premium
172,F,56,Family
173,F,55,Family
174,M,59,Family
175,M,21,Enterprise
176,F,25,Premium
177,F,45,Youth
178,F,28,Enterprise
179,F,66,Family
180,M,61,Youth
181,M,67,Youth
182,M,56,Premium
183,M,20,Enterprise
184,M,39,Enterprise
185,F,62,Family
186,F,45,Premium
187,M,38,Premium
188,M,18,Enterprise
189,F,18,Enterprise
190,F,36,Enterprise
191,M,35,Enterprise
192,M,67,Premium
193,F,20,Premium
194,M,33,Premium
195,F,54,Enterprise
196,M,24,Family
197,M,51,Premium
198,F,38,Family
199,F,34,Family
200,M,69,Youth
201,F,52,Youth
202,M,32,Premium
203,M,46,Enterprise
204,F,41,Premium
205,F,38,Premium
206,F,49,Premium
207,F,57,Enterprise
208,M,62,Premium
209,M,70,Enterprise
210,M,57,Enterprise
211,F,68,Enterprise
212,M,64,Enterprise
213,F,21,Premium
214,F,36,Premium
215,F,27,Youth
216,M,20,Youth
217,M,37,Enterprise
218,M,47,Enterprise
219,F,29,Premium
220,M,59,Premium
221,M,44,Enterprise
222,M,43,Youth
223,M,34,Youth
224,M,40,Enterprise
225,F,25,Premium
226,F,58,Premium
227,M,49,Enterprise
228,M,53,Premium
229,F,52,Youth
230,F,25,Youth
231,F,53,Family
232,F,54,Youth
233,M,21,Youth
234,M,32,Youth
235,M,64,Youth
236,F,18,Family
237,M,50,Family
238,M,65,Enterprise
239,M,21,Family
240,F,69,Youth
241,F,28,Youth
242,F,50,Family
243,F,61,Premium
244,M,52,Premium
245,F,49,Youth
246,F,30,Family
247,M,25,Premium
248,F,32,Family
249,M,42,Youth
250,F,27,Enterprise
251,M,37,Premium
252,F,30,Premium
253,F,36,Premium
254,F,58,Family
255,M,50,Family
256,M,39,Premium
257,F,20,Enterprise
258,F,45,Youth
