record_id,campaign_id,impressions,conversions
1,1,5690,1737
2,2,2133,1552
3,2,1122,1057
4,3,1172,201
5,3,5940,1425
6,2,356,323
7,2,7181,1376
8,2,5748,11
9,1,6684,859
10,3,1724,1261
11,4,8629,1484
12,2,4973,909
13,1,9251,1533
14,3,9779,947
15,4,3647,403
16,2,6582,1994
17,2,286,1426
18,3,7941,691
19,3,679,769
20,1,7095,1568
21,3,7083,1273
22,2,7376,1384
23,4,2231,1577
24,3,5013,1498
25,2,5281,1252
26,4,5192,1161
27,3,1532,760
28,1,9314,1646
29,1,2958,83
30,2,4638,1880
31,1,4293,718
32,1,7606,791
33,1,4658,40
34,4,5866,1928
35,3,6031,1876
36,1,8607,894
37,2,6629,56
38,2,6488,430
39,4,9927,1158
40,1,1692,1217
41,2,721,808
42,4,1760,1072
43,4,2322,1873
44,1,220,580
45,1,9318,1669
46,4,368,1984
47,2,3524,1255
48,4,2261,1358
49,1,3357,170
50,3,4874,1559
51,1,5188,870
52,2,8997,1836
53,1,4856,1130
54,3,2043,1721
55,4,3708,1356
56,3,841,519
57,2,8538,878
58,3,5465,704
59,1,6504,894
60,4,1185,1168
61,3,7204,1985
62,1,9226,1610
63,3,9317,1602
64,2,4249,219
65,4,5388,838
66,2,1833,1116
67,4,7274,108
68,2,8351,705
69,1,3084,1501
70,4,671,1849
71,2,5918,500
72,1,2643,400
73,3,5158,1596
74,1,1741,1544
75,2,1043,270
76,1,2492,1128
77,1,3641,1214
78,3,2271,1201
79,1,1923,854
80,3,4550,1656
81,2,9891,1112
82,3,1680,1265
83,2,7098,328
84,1,7624,810
85,2,4809,1023
86,2,3179,47
87,3,4432,34
88,1,5980,1565
89,4,1264,616
90,3,555,43
91,1,1392,57
92,3,2410,1307
93,2,9338,677
94,3,6279,290
95,3,1947,1430
96,2,1015,861
97,1,3383,889
98,4,7965,402
99,4,6909,966
100,1,6311,332
101,2,7965,1735
102,3,8946,221
103,1,6000,1751
104,2,9375,770
105,4,5684,441
106,1,5842,1588
107,4,2799,861
108,2,7789,553
109,1,757,1926
110,1,5070,491
111,1,3617,489
112,2,414,1111
113,3,3340,305
114,2,2557,1244
115,3,9397,1209
116,1,8115,387
117,1,5298,475
118,4,5725,882
119,3,7080,1825
120,4,200,1944
121,3,6076,415
122,1,5625,1471
123,4,7843,1215
124,2,5340,207
125,3,6405,642
126,4,4680,1367
127,1,2605,310
128,3,8919,914
129,2,1024,771
130,1,5860,1564
131,3,9094,884
132,1,5239,1752
133,3,1254,1817
134,1,8379,1225
135,2,2145,442
136,2,8882,392
137,1,7540,1749
138,3,5968,964
139,1,5259,1533
140,4,8345,1775
141,3,4184,366
142,2,1596,1992
143,3,6014,153
144,4,4146,1623
145,3,1902,1682
146,4,332,1080
147,3,7915,1449
148,4,5958,1155
149,1,4713,1093
150,2,175,932
151,4,7275,1658
152,1,4183,1989
153,3,4201,1330
154,2,6183,1177
155,3,3712,1593
156,1,387,33
157,3,3224,1741
158,3,9390,1063
159,3,6480,1858
160,1,9381,989
161,4,9592,1818
162,2,3768,808
163,4,4129,1619
164,2,1490,1412
165,4,864,384
166,2,185,345
167,2,7417,589
168,3,4095,92
169,3,4489,374
170,2,2478,1176
171,1,8797,699
172,4,1099,606
173,2,5459,280
174,1,6227,188
175,4,595,318
176,1,1561,342
177,1,8345,626
178,1,4886,792
179,3,4605,867
180,1,3387,453
181,1,7565,783
182,4,9216,1993
183,2,4860,375
184,3,4162,536
185,4,6947,1224
186,4,7086,1179
187,2,310,461
188,4,8169,1070
189,2,6824,1288
190,2,6106,1138
191,1,2565,1135
192,2,8475,418
193,1,7088,34
194,1,4113,156
195,3,1241,806
196,2,7315,554
197,4,524,1871
198,1,9173,601
199,4,9770,816
200,4,7535,1296
201,4,5310,976
202,2,8870,1463
203,1,6317,562
204,2,2166,287
205,3,7309,1451
206,3,5132,171
207,4,7844,1115
208,4,8035,459
209,3,1999,895
210,2,8944,1272
211,4,4603,717
212,3,5820,935
213,1,4818,1031
214,2,5621,1186
215,1,9037,821
216,3,9060,701
217,1,9765,755
218,4,2482,711
219,1,1731,1046
220,4,9733,1533
221,4,7477,1074
222,1,6088,1954
223,2,2107,24
224,1,4775,484
225,1,2592,1074
226,3,4330,1956
227,2,6758,1911
228,4,6608,807
229,1,826,1553
230,3,1188,1268
231,3,4939,1630
232,3,9418,1797
233,3,1140,585
234,2,9985,285
235,3,3441,478
236,1,6486,264
237,3,2642,1634
238,3,329,712
239,1,7884,1754
240,1,9177,1457
241,4,2943,1562
242,4,2192,507
243,3,2737,1326
244,4,2350,1915
245,1,7475,1129
246,1,4441,1902
247,2,5623,565
248,1,2503,445
249,4,6050,632
250,3,8061,1242
251,3,9645,440
252,4,9779,125
253,3,4748,1854
254,4,7869,1923
255,2,1311,1422
256,4,9119,1633
257,4,3846,1016
258,3,9787,1045
259,4,6351,64
260,4,4562,1547
261,2,4237,742
262,2,3024,1988
263,4,973,1159
264,1,2683,1949
265,2,6215,1920
266,3,4649,1278
267,1,6944,396
268,1,6214,1421
269,2,427,1512
270,3,6390,230
271,4,2065,1818
272,1,6053,262
273,4,4564,211
274,4,9013,1230
275,3,6757,1381
276,2,6747,849
277,2,2398,1714
278,1,4738,784
279,2,5986,385
280,4,3226,1876
281,1,1528,447
282,3,1231,1984
283,2,4237,359
284,3,2996,1914
285,1,2942,1418
286,1,891,260
287,3,8298,999
288,3,4809,1880
289,4,5270,157
290,2,3609,1617
291,4,2155,266
292,1,263,589
293,1,3368,1680
294,1,695,1760
295,4,1760,1906
296,2,1695,1016
297,2,4138,1794
298,3,7916,1055
299,4,6617,503
300,2,7858,1788
301,3,7448,252
