subscription_id,customer_id,offer_id,revenue
1,26618,4,291.87
2,2488,4,28.19
3,8090,4,217.39
4,42648,3,494.91
5,20454,4,484.55
6,8593,4,171.34
7,5419,1,434.04
8,6436,3,251.84
9,43628,5,266.06
10,21346,5,365.16
11,34837,3,329.94
12,29824,5,396.62
13,44382,4,338.11
14,26764,5,197.53
15,32361,3,300.37
16,26022,5,387.74
17,25259,3,165.59
18,33515,4,264.97
19,23914,3,33.9
20,29611,5,12.57
21,46703,2,99.61
22,21832,3,95.07
23,24381,1,150.1
24,41504,3,344.88
25,39768,5,29.06
26,31688,4,199.91
27,36414,2,132.24
28,27829,4,90.5
29,23278,1,77.14
30,22922,2,238.8
31,33795,3,199.13
32,14946,5,146.17
33,1016,3,185.21
34,11831,1,435.87
35,49120,4,121.6
36,39324,5,152.62
37,34864,4,378.51
38,46624,2,63.89
39,29732,4,208.77
40,14743,5,366.26
41,13772,2,115.9
42,26840,5,208.62
43,10842,5,423.12
44,20944,4,293.83
45,29512,3,193.14
46,47592,2,216.18
47,24745,1,339.65
48,8425,3,361.16
49,16094,2,22.6
50,4375,5,424.52
51,33677,3,490.83
52,14117,2,387.25
53,30952,5,361.93
54,17511,1,141.46
55,33151,5,230.84
56,25584,3,186.51
57,25595,5,145.17
58,20291,2,247.6
59,48503,2,60.01
60,42890,3,173.37
61,37407,5,134.32
62,26987,3,279.72
63,23443,5,124.89
64,8319,5,61.7
65,6993,4,365.91
66,36242,3,141.67
67,28485,2,205.48
68,43702,5,359.04
69,4106,2,231.94
70,45741,2,250.27
71,27302,2,202.7
72,17261,3,68.84
73,41485,1,457.04
74,5019,2,278.71
75,26181,3,351.49
76,30456,1,257.48
77,6818,2,361.81
78,42083,3,89.12
79,45331,1,28.68
80,22268,3,235.53
81,6092,3,310.34
82,13648,1,354.17
83,45446,3,31.18
84,31679,4,266.92
85,31815,4,466.45
86,32819,3,423.94
87,21348,1,299.1
88,16643,2,152.12
89,36356,4,49.66
90,47370,2,197.73
91,16749,5,58.78
92,18066,4,136.5
93,16244,2,353.57
94,38853,5,405.74
95,33283,1,309.72
96,42757,5,293.74
97,14656,4,97.78
98,34820,1,209.43
99,35614,2,242.31
100,20877,5,211.98
101,31532,1,345.27
102,2891,2,489.64
103,6015,3,319.41
104,19044,1,263.68
105,17558,3,395.4
106,18293,1,490.52
107,15229,3,402.79
108,30425,2,58.38
109,2692,2,311.67
110,1098,5,383.69
111,31262,1,20.93
112,45948,3,326.76
113,22353,1,59.93
114,40330,2,125.64
115,22894,4,61.99
116,48017,4,275.27
117,10445,5,174.45
118,13084,1,403.61
119,5580,2,403.66
120,2292,4,114.74
121,707,1,206.3
122,11032,1,143.7
123,10058,2,461.34
124,18325,3,385.02
125,13515,2,363.15
126,47569,4,58.05
127,12092,3,432.03
128,32342,1,280.54
129,7292,2,84.44
130,21737,1,144.81
131,745,5,414.25
132,45459,5,396.29
133,32207,4,283.97
134,24349,1,231.65
135,13378,2,164.7
136,25624,1,273.87
137,8367,3,350.02
138,26811,5,89.45
139,123,3,18.66
140,32313,4,492.05
141,9155,1,245.9
142,30228,5,81.74
143,19044,5,386.25
144,5581,4,35.98
145,29244,4,401.31
146,27664,2,337.18
147,10374,3,207.77
148,41093,3,134.36
149,20028,4,228.47
150,6123,2,23.21
151,25063,4,270.83
152,8157,1,390.8
153,20382,1,148.28
154,42593,3,62.46
155,33418,4,107.04
156,25583,2,269.76
157,47622,1,421.84
158,44101,3,92.46
159,35950,4,405.25
160,20774,1,136.56
161,8945,4,121.63
162,41151,2,487.32
163,3217,3,413.49
164,2293,3,50.51
165,29254,4,198.46
166,21858,5,282.16
167,17655,1,197.93
168,43230,4,418.9
169,24083,3,135.08
170,45045,2,378.94
171,15814,1,48.28
172,43044,1,39.84
173,43626,2,489.05
174,22727,3,316.92
175,5586,5,46.89
176,31125,2,43.16
177,9275,4,264.61
178,13738,5,60.52
179,7948,2,90.95
180,39925,1,148.56
181,47149,5,26.57
182,16773,4,335.48
183,45356,1,451.8
184,8793,2,96.72
185,6115,4,386.4
186,5084,2,124.87
187,20535,4,318.91
