acquisition_id,customer_id,store_id,activation_flag
1,851,1039,1
2,9560,1038,1
3,32725,1031,1
4,24227,1016,1
5,18107,1035,1
6,39404,1007,1
7,6970,1035,1
8,19903,1030,1
9,1665,1030,1
10,9168,1035,1
11,45839,1031,1
12,32001,1010,1
13,41997,1005,1
14,43078,1033,1
15,29657,1009,1
16,47232,1012,1
17,2591,1003,1
18,17211,1032,1
19,34104,1009,1
20,5374,1005,1
21,6964,1000,1
22,24695,1039,1
23,4076,1012,1
24,9876,1011,1
25,10713,1023,1
26,10240,1023,1
27,46375,1030,1
28,19039,1013,1
29,29593,1035,1
30,23185,1032,1
31,41931,1008,1
32,11252,1036,1
33,14066,1029,1
34,41041,1009,1
35,13777,1031,1
36,39860,1035,1
37,8183,1003,1
38,39264,1029,1
39,18043,1003,1
40,44388,1013,1
41,33042,1006,1
42,12859,1026,1
43,40821,1017,1
44,15338,1039,1
45,21269,1007,1
46,43979,1010,1
47,18608,1021,1
48,31929,1003,1
49,46530,1023,1
50,33411,1038,1
51,44100,1012,1
52,39884,1001,1
53,1691,1026,1
54,19527,1005,1
55,42384,1010,1
56,14849,1012,1
57,15401,1025,1
58,42592,1030,1
59,565,1018,1
60,42935,1017,1
61,443,1007,1
62,41931,1018,1
63,45154,1025,1
64,12580,1011,1
65,132,1036,1
66,1451,1000,1
67,22648,1005,1
68,33265,1003,1
69,19514,1022,1
70,6602,1005,1
71,8241,1017,1
72,18847,1012,1
73,41788,1032,1
74,15409,1000,1
75,20309,1024,1
76,19943,1015,1
77,43106,1011,1
78,4449,1014,1
79,39416,1019,1
80,47929,1015,1
81,18922,1008,1
82,24892,1017,1
83,40181,1036,1
84,20277,1033,1
85,47679,1015,1
86,23007,1029,1
87,21864,1016,1
88,5393,1027,1
89,47917,1031,1
90,14446,1009,1
91,10507,1025,1
92,12749,1003,1
93,32632,1037,1
94,43978,1001,1
95,38375,1019,1
96,36707,1020,1
97,4752,1010,1
98,451,1020,1
99,34134,1028,1
100,19680,1003,1
101,33331,1007,1
102,38895,1017,1
103,47907,1009,1
104,6522,1031,1
105,2793,1032,1
106,26643,1010,1
107,45801,1019,1
108,38473,1003,1
109,7898,1029,1
110,45825,1037,1
111,5821,1000,1
112,23049,1003,1
113,7579,1023,1
114,27963,1027,1
115,27348,1009,1
116,33566,1019,1
117,27353,1029,1
118,22535,1009,1
119,46837,1038,1
120,41179,1000,1
121,23572,1029,1
122,38725,1035,1
123,48390,1021,1
124,5090,1031,1
125,29162,1031,1
126,36345,1012,1
127,29526,1003,1
128,19753,1001,1
129,36053,1025,1
130,2068,1017,1
131,25202,1028,1
132,13896,1002,1
133,35865,1028,1
134,40261,1006,1
135,6606,1029,1
136,6329,1029,1
137,8691,1036,1
138,181,1016,1
139,38900,1003,1
140,40145,1024,1
141,37287,1034,1
142,25405,1010,1
143,39746,1003,1
144,38262,1036,1
145,36135,1034,1
146,34964,1021,1
147,17893,1001,1
148,16771,1007,1
149,22408,1030,1
150,1101,1000,1
151,43493,1017,1
152,8967,1033,1
153,28064,1038,1
154,23702,1037,1
155,22277,1005,1
156,24592,1024,1
157,5361,1025,1
158,8011,1005,1
159,35157,1003,1
160,29781,1010,1
161,3624,1036,1
162,437,1008,1
163,229,1004,1
164,46050,1034,1
165,12800,1029,1
166,14877,1011,1
167,40142,1012,1
168,25170,1030,1
169,45406,1010,1
170,19042,1022,1
171,41191,1004,1
172,14542,1035,1
173,11795,1022,1
174,12543,1027,1
175,40451,1002,1
176,5459,1013,1
177,9340,1019,1
178,18727,1010,1
179,35727,1001,1
180,23541,1018,1
181,28460,1026,1
182,10922,1017,1
183,24464,1009,1
184,11785,1034,1
185,47756,1025,1
186,20864,1039,1
187,32702,1038,1
188,33509,1030,1
189,48383,1039,1
190,6193,1029,1
191,41272,1007,1
192,30399,1003,1
193,14954,1030,1
194,5885,1009,1
195,15266,1004,1
196,2906,1014,1
197,18004,1001,1
198,25347,1000,1
199,40012,1022,1
200,23980,1005,1
201,38006,1037,1
202,33326,1031,1
203,16267,1006,1
204,37391,1039,1
205,37388,1004,1
206,1485,1008,1
207,2903,1011,1
208,6463,1022,1
209,20611,1016,1
210,15724,1034,1
211,48270,1001,1
212,36746,1033,1
213,27721,1014,1
214,27577,1010,1
215,41432,1026,1
216,3495,1010,1
217,19717,1008,1
218,35672,1002,1
219,30289,1019,1
220,27928,1014,1
221,13639,1031,1
222,40361,1010,1
223,21783,1003,1
224,19153,1014,1
225,15186,1033,1
226,20439,1034,1
227,19907,1016,1
228,15928,1018,1
229,25762,1011,1
230,15749,1005,1
231,43632,1032,1
232,13922,1018,1
233,47606,1006,1
234,20158,1013,1
235,35719,1023,1
236,44188,1009,1
237,27814,1006,1
238,27138,1036,1
239,18685,1026,1
240,5728,1008,1
241,1049,1035,1
242,23308,1011,1
243,13809,1019,1
244,20232,1028,1
