device_id,manufacturer,model,device_type,network_capability
1,Xiaomi,Model_1,Smartphone,4G
2,OnePlus,Model_2,Smartphone,5G
3,Apple,Model_3,Smartphone,5G
4,Samsung,Model_4,Smartphone,4G
5,Samsung,Model_5,Smartphone,5G
6,Apple,Model_6,Smartphone,4G
7,Apple,Model_7,Smartphone,5G
8,Samsung,Model_8,Smartphone,5G
9,Apple,Model_9,Smartphone,4G
10,Samsung,Model_10,Smartphone,5G
11,Apple,Model_11,Smartphone,5G
12,Xiaomi,Model_12,Smartphone,4G
13,Xiaomi,Model_13,Smartphone,5G
14,Apple,Model_14,Smartphone,5G
15,Apple,Model_15,Smartphone,5G
16,OnePlus,Model_16,Smartphone,5G
17,Samsung,Model_17,Smartphone,4G
18,Xiaomi,Model_18,Smartphone,4G
19,Samsung,Model_19,Smartphone,5G
20,Samsung,Model_20,Smartphone,4G
21,Apple,Model_21,Smartphone,5G
22,Apple,Model_22,Smartphone,5G
23,Samsung,Model_23,Smartphone,4G
24,Xiaomi,Model_24,Smartphone,5G
25,OnePlus,Model_25,Smartphone,4G
26,Samsung,Model_26,Smartphone,5G
27,Samsung,Model_27,Smartphone,4G
28,OnePlus,Model_28,Smartphone,5G
29,OnePlus,Model_29,Smartphone,5G
30,Xiaomi,Model_30,Smartphone,4G
31,Xiaomi,Model_31,Smartphone,5G
32,Apple,Model_32,Smartphone,5G
33,Samsung,Model_33,Smartphone,4G
34,Xiaomi,Model_34,Smartphone,4G
35,Xiaomi,Model_35,Smartphone,4G
36,Xiaomi,Model_36,Smartphone,4G
37,Apple,Model_37,Smartphone,4G
38,Xiaomi,Model_38,Smartphone,4G
39,Samsung,Model_39,Smartphone,5G
40,Samsung,Model_40,Smartphone,4G
41,Apple,Model_41,Smartphone,5G
42,OnePlus,Model_42,Smartphone,4G
43,Samsung,Model_43,Smartphone,5G
44,Xiaomi,Model_44,Smartphone,5G
45,Apple,Model_45,Smartphone,5G
46,Xiaomi,Model_46,Smartphone,4G
47,Samsung,Model_47,Smartphone,5G
48,OnePlus,Model_48,Smartphone,5G
49,Apple,Model_49,Smartphone,4G
50,OnePlus,Model_50,Smartphone,4G
51,Xiaomi,Model_51,Smartphone,4G
52,Xiaomi,Model_52,Smartphone,4G
53,Xiaomi,Model_53,Smartphone,5G
54,Samsung,Model_54,Smartphone,5G
55,OnePlus,Model_55,Smartphone,5G
56,Apple,Model_56,Smartphone,4G
57,Xiaomi,Model_57,Smartphone,4G
58,OnePlus,Model_58,Smartphone,5G
59,Samsung,Model_59,Smartphone,5G
60,OnePlus,Model_60,Smartphone,4G
61,Apple,Model_61,Smartphone,5G
62,OnePlus,Model_62,Smartphone,5G
63,Apple,Model_63,Smartphone,5G
64,OnePlus,Model_64,Smartphone,4G
65,OnePlus,Model_65,Smartphone,5G
66,OnePlus,Model_66,Smartphone,5G
67,OnePlus,Model_67,Smartphone,4G
68,Samsung,Model_68,Smartphone,5G
69,Samsung,Model_69,Smartphone,4G
70,Apple,Model_70,Smartphone,5G
71,Xiaomi,Model_71,Smartphone,4G
72,OnePlus,Model_72,Smartphone,5G
73,Apple,Model_73,Smartphone,4G
74,OnePlus,Model_74,Smartphone,4G
75,OnePlus,Model_75,Smartphone,5G
76,Apple,Model_76,Smartphone,4G
77,OnePlus,Model_77,Smartphone,4G
78,Xiaomi,Model_78,Smartphone,5G
79,Apple,Model_79,Smartphone,5G
80,Samsung,Model_80,Smartphone,5G
81,Xiaomi,Model_81,Smartphone,5G
82,OnePlus,Model_82,Smartphone,4G
83,Xiaomi,Model_83,Smartphone,5G
84,Xiaomi,Model_84,Smartphone,4G
85,OnePlus,Model_85,Smartphone,4G
86,OnePlus,Model_86,Smartphone,4G
87,Apple,Model_87,Smartphone,5G
88,OnePlus,Model_88,Smartphone,5G
89,Apple,Model_89,Smartphone,5G
90,OnePlus,Model_90,Smartphone,4G
91,Apple,Model_91,Smartphone,4G
92,Samsung,Model_92,Smartphone,4G
93,Xiaomi,Model_93,Smartphone,4G
94,OnePlus,Model_94,Smartphone,5G
95,Xiaomi,Model_95,Smartphone,4G
96,Apple,Model_96,Smartphone,5G
97,OnePlus,Model_97,Smartphone,5G
98,Samsung,Model_98,Smartphone,5G
99,Samsung,Model_99,Smartphone,5G
100,Apple,Model_100,Smartphone,5G
101,Xiaomi,Model_101,Smartphone,4G
102,Apple,Model_102,Smartphone,5G
103,Xiaomi,Model_103,Smartphone,5G
104,Apple,Model_104,Smartphone,4G
105,Xiaomi,Model_105,Smartphone,4G
106,Xiaomi,Model_106,Smartphone,4G
107,Xiaomi,Model_107,Smartphone,4G
108,Xiaomi,Model_108,Smartphone,5G
109,OnePlus,Model_109,Smartphone,4G
110,Apple,Model_110,Smartphone,5G
111,Samsung,Model_111,Smartphone,5G
112,Apple,Model_112,Smartphone,4G
113,Samsung,Model_113,Smartphone,4G
114,Samsung,Model_114,Smartphone,5G
115,OnePlus,Model_115,Smartphone,5G
116,OnePlus,Model_116,Smartphone,5G
117,Xiaomi,Model_117,Smartphone,5G
118,Xiaomi,Model_118,Smartphone,4G
119,OnePlus,Model_119,Smartphone,5G
120,OnePlus,Model_120,Smartphone,5G
121,Apple,Model_121,Smartphone,5G
122,OnePlus,Model_122,Smartphone,4G
123,OnePlus,Model_123,Smartphone,5G
124,Apple,Model_124,Smartphone,5G
125,Apple,Model_125,Smartphone,5G
126,OnePlus,Model_126,Smartphone,5G
127,Samsung,Model_127,Smartphone,5G
128,Samsung,Model_128,Smartphone,5G
129,Xiaomi,Model_129,Smartphone,4G
130,Samsung,Model_130,Smartphone,4G
131,OnePlus,Model_131,Smartphone,4G
132,OnePlus,Model_132,Smartphone,5G
133,Samsung,Model_133,Smartphone,5G
134,Apple,Model_134,Smartphone,5G
135,Samsung,Model_135,Smartphone,4G
136,Xiaomi,Model_136,Smartphone,5G
137,OnePlus,Model_137,Smartphone,5G
138,Apple,Model_138,Smartphone,5G
139,Xiaomi,Model_139,Smartphone,4G
140,Samsung,Model_140,Smartphone,5G
141,Samsung,Model_141,Smartphone,4G
142,OnePlus,Model_142,Smartphone,4G
143,Apple,Model_143,Smartphone,4G
144,Samsung,Model_144,Smartphone,5G
145,Xiaomi,Model_145,Smartphone,4G
146,Xiaomi,Model_146,Smartphone,5G
147,Apple,Model_147,Smartphone,4G
148,OnePlus,Model_148,Smartphone,4G
149,Samsung,Model_149,Smartphone,5G
150,Samsung,Model_150,Smartphone,5G
151,Xiaomi,Model_151,Smartphone,5G
152,Samsung,Model_152,Smartphone,5G
153,Xiaomi,Model_153,Smartphone,5G
154,Apple,Model_154,Smartphone,5G
