cell_tower_id,tower_name,city,state,region
TWR1,Tower_1,Mumbai,Tamil Nadu,South
TWR2,Tower_2,Bengaluru,Karnataka,South
TWR3,Tower_3,Mumbai,Maharashtra,West
TWR4,Tower_4,Chennai,Maharashtra,South
TWR5,Tower_5,Bengaluru,Tamil Nadu,West
TWR6,Tower_6,Hyderabad,Tamil Nadu,South
TWR7,Tower_7,Chennai,Maharashtra,South
TWR8,Tower_8,Mumbai,Telangana,South
TWR9,Tower_9,Mumbai,Maharashtra,South
TWR10,Tower_10,Chennai,Telangana,West
TWR11,Tower_11,Mumbai,Maharashtra,South
TWR12,Tower_12,Mumbai,Maharashtra,West
TWR13,Tower_13,Chennai,Maharashtra,West
TWR14,Tower_14,Mumbai,Tamil Nadu,South
TWR15,Tower_15,Hyderabad,Maharashtra,South
TWR16,Tower_16,Chennai,Telangana,South
TWR17,Tower_17,Hyderabad,Tamil Nadu,West
TWR18,Tower_18,Chennai,Karnataka,West
TWR19,Tower_19,Bengaluru,Tamil Nadu,West
TWR20,Tower_20,Bengaluru,Tamil Nadu,West
TWR21,Tower_21,Bengaluru,Maharashtra,West
TWR22,Tower_22,Chennai,Tamil Nadu,South
TWR23,Tower_23,Mumbai,Telangana,West
TWR24,Tower_24,Hyderabad,Tamil Nadu,West
TWR25,Tower_25,Chennai,Tamil Nadu,South
TWR26,Tower_26,Hyderabad,Tamil Nadu,South
TWR27,Tower_27,Hyderabad,Karnataka,West
TWR28,Tower_28,Mumbai,Telangana,South
TWR29,Tower_29,Mumbai,Karnataka,West
TWR30,Tower_30,Chennai,Telangana,West
TWR31,Tower_31,Mumbai,Telangana,South
TWR32,Tower_32,Bengaluru,Telangana,South
TWR33,Tower_33,Bengaluru,Tamil Nadu,South
TWR34,Tower_34,Bengaluru,Tamil Nadu,West
TWR35,Tower_35,Mumbai,Tamil Nadu,South
TWR36,Tower_36,Mumbai,Telangana,South
TWR37,Tower_37,Hyderabad,Tamil Nadu,West
TWR38,Tower_38,Mumbai,Tamil Nadu,South
TWR39,Tower_39,Bengaluru,Tamil Nadu,South
TWR40,Tower_40,Bengaluru,Tamil Nadu,West
TWR41,Tower_41,Bengaluru,Maharashtra,West
TWR42,Tower_42,Bengaluru,Tamil Nadu,South
TWR43,Tower_43,Chennai,Tamil Nadu,West
TWR44,Tower_44,Chennai,Tamil Nadu,West
TWR45,Tower_45,Bengaluru,Karnataka,West
TWR46,Tower_46,Mumbai,Maharashtra,South
TWR47,Tower_47,Mumbai,Maharashtra,West
TWR48,Tower_48,Chennai,Telangana,West
TWR49,Tower_49,Hyderabad,Maharashtra,South
TWR50,Tower_50,Chennai,Maharashtra,South
TWR51,Tower_51,Mumbai,Telangana,South
TWR52,Tower_52,Chennai,Karnataka,West
TWR53,Tower_53,Mumbai,Karnataka,South
TWR54,Tower_54,Chennai,Karnataka,South
TWR55,Tower_55,Chennai,Telangana,South
TWR56,Tower_56,Chennai,Tamil Nadu,West
TWR57,Tower_57,Mumbai,Maharashtra,West
TWR58,Tower_58,Mumbai,Tamil Nadu,South
TWR59,Tower_59,Mumbai,Karnataka,South
TWR60,Tower_60,Mumbai,Karnataka,West
TWR61,Tower_61,Hyderabad,Tamil Nadu,South
TWR62,Tower_62,Chennai,Tamil Nadu,South
TWR63,Tower_63,Chennai,Maharashtra,West
TWR64,Tower_64,Hyderabad,Telangana,South
TWR65,Tower_65,Chennai,Maharashtra,South
TWR66,Tower_66,Mumbai,Karnataka,West
TWR67,Tower_67,Chennai,Maharashtra,South
TWR68,Tower_68,Bengaluru,Tamil Nadu,West
TWR69,Tower_69,Mumbai,Telangana,West
TWR70,Tower_70,Hyderabad,Maharashtra,South
TWR71,Tower_71,Bengaluru,Telangana,West
TWR72,Tower_72,Bengaluru,Telangana,South
TWR73,Tower_73,Bengaluru,Tamil Nadu,South
TWR74,Tower_74,Chennai,Telangana,South
TWR75,Tower_75,Chennai,Karnataka,South
TWR76,Tower_76,Bengaluru,Karnataka,West
TWR77,Tower_77,Bengaluru,Tamil Nadu,West
TWR78,Tower_78,Chennai,Maharashtra,West
TWR79,Tower_79,Mumbai,Maharashtra,South
TWR80,Tower_80,Chennai,Telangana,South
TWR81,Tower_81,Bengaluru,Karnataka,South
TWR82,Tower_82,Chennai,Maharashtra,West
TWR83,Tower_83,Mumbai,Karnataka,South
TWR84,Tower_84,Mumbai,Telangana,South
TWR85,Tower_85,Hyderabad,Telangana,West
TWR86,Tower_86,Bengaluru,Karnataka,South
TWR87,Tower_87,Mumbai,Maharashtra,West
TWR88,Tower_88,Chennai,Maharashtra,West
TWR89,Tower_89,Mumbai,Maharashtra,West
TWR90,Tower_90,Hyderabad,Tamil Nadu,West
TWR91,Tower_91,Bengaluru,Karnataka,West
TWR92,Tower_92,Mumbai,Telangana,West
TWR93,Tower_93,Mumbai,Karnataka,South
TWR94,Tower_94,Mumbai,Tamil Nadu,West
TWR95,Tower_95,Hyderabad,Maharashtra,South
TWR96,Tower_96,Mumbai,Maharashtra,West
TWR97,Tower_97,Mumbai,Tamil Nadu,South
TWR98,Tower_98,Mumbai,Karnataka,South
TWR99,Tower_99,Chennai,Telangana,South
TWR100,Tower_100,Mumbai,Karnataka,West
TWR101,Tower_101,Mumbai,Maharashtra,West
TWR102,Tower_102,Mumbai,Karnataka,West
TWR103,Tower_103,Chennai,Karnataka,South
TWR104,Tower_104,Mumbai,Tamil Nadu,West
TWR105,Tower_105,Chennai,Karnataka,West
TWR106,Tower_106,Mumbai,Tamil Nadu,West
TWR107,Tower_107,Hyderabad,Maharashtra,West
TWR108,Tower_108,Mumbai,Tamil Nadu,West
TWR109,Tower_109,Chennai,Tamil Nadu,South
TWR110,Tower_110,Mumbai,Maharashtra,West
TWR111,Tower_111,Bengaluru,Tamil Nadu,West
TWR112,Tower_112,Hyderabad,Maharashtra,South
TWR113,Tower_113,Mumbai,Karnataka,West
TWR114,Tower_114,Hyderabad,Maharashtra,West
TWR115,Tower_115,Mumbai,Karnataka,South
TWR116,Tower_116,Hyderabad,Tamil Nadu,West
TWR117,Tower_117,Mumbai,Maharashtra,West
TWR118,Tower_118,Bengaluru,Karnataka,West
TWR119,Tower_119,Mumbai,Karnataka,South
TWR120,Tower_120,Mumbai,Telangana,South
TWR121,Tower_121,Bengaluru,Karnataka,West
TWR122,Tower_122,Mumbai,Telangana,South
TWR123,Tower_123,Mumbai,Telangana,West
TWR124,Tower_124,Mumbai,Maharashtra,West
TWR125,Tower_125,Chennai,Karnataka,West
TWR126,Tower_126,Bengaluru,Telangana,South
TWR127,Tower_127,Hyderabad,Telangana,South
TWR128,Tower_128,Chennai,Tamil Nadu,South
TWR129,Tower_129,Mumbai,Maharashtra,South
TWR130,Tower_130,Mumbai,Tamil Nadu,South
TWR131,Tower_131,Chennai,Tamil Nadu,West
TWR132,Tower_132,Bengaluru,Tamil Nadu,South
TWR133,Tower_133,Mumbai,Telangana,South
TWR134,Tower_134,Hyderabad,Tamil Nadu,South
TWR135,Tower_135,Chennai,Maharashtra,West
TWR136,Tower_136,Bengaluru,Tamil Nadu,South
TWR137,Tower_137,Bengaluru,Karnataka,South
TWR138,Tower_138,Mumbai,Karnataka,South
TWR139,Tower_139,Mumbai,Maharashtra,West
TWR140,Tower_140,Bengaluru,Telangana,South
TWR141,Tower_141,Mumbai,Tamil Nadu,West
TWR142,Tower_142,Bengaluru,Maharashtra,West
TWR143,Tower_143,Hyderabad,Telangana,South
TWR144,Tower_144,Bengaluru,Tamil Nadu,South
TWR145,Tower_145,Hyderabad,Karnataka,West
TWR146,Tower_146,Mumbai,Tamil Nadu,West
TWR147,Tower_147,Chennai,Karnataka,West
TWR148,Tower_148,Mumbai,Telangana,West
TWR149,Tower_149,Hyderabad,Karnataka,South
TWR150,Tower_150,Mumbai,Maharashtra,South
